_id,CURRENT BUILDING EVAL SCORE,FENCING,BUILDING CLEANLINESS,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,CLEANING LOG,PEST CONTROL LOG,MAINTENANCE LOG,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,INT. HALLWAY - WALLS / CEILING,LATITUDE,LONGITUDE
1433,97,3,3,3,3,3,3,3,3,3,1,43.588267807,-79.542809505
1434,95,1,3,3,3,3,3,3,3,3,3,43.588635682,-79.543413738
816,98,3,2,3,3,3,3,3,3,3,3,43.588709665,-79.534076049
3492,66,3,3,2,1,1,1,1,1,1,2,43.588854109,-79.539116113
1435,87,3,3,2,3,1,3,3,3,3,2,43.589021479,-79.544011345
815,79,1,1,2,2,3,3,3,3,3,3,43.589265093,-79.531395181
1436,92,3,3,3,3,1,1,1,1,1,3,43.589434868,-79.544657833
814,94,3,3,3,3,3,3,3,1,3,1,43.589470147,-79.530535447
813,88,3,3,3,3,3,3,3,3,3,2,43.589738824,-79.529723711
2186,93,3,3,2,3,3,3,3,3,3,2,43.5899805571,-79.5423873901
2185,92,1,3,3,3,3,2,3,3,2,2,43.5900539633,-79.5420495238
1025,95,3,3,2,3,3,3,3,3,3,3,43.5902952766,-79.5324909265
286,94,3,3,3,2,3,3,3,3,3,3,43.5903629605,-79.5313842856
2928,91,2,3,3,3,3,3,3,3,3,2,43.5903826835,-79.5425008764
285,89,3,3,3,3,3,3,3,1,3,3,43.59057473,-79.530310285
3493,97,1,3,3,3,3,3,3,3,3,2,43.5916886979,-79.5307437677
3494,89,2,3,3,3,1,1,1,1,1,2,43.5918858428,-79.5306544291
3495,88,2,2,3,3,3,1,1,1,1,2,43.5920527461,-79.530753761
1816,78,2,3,2,3,1,3,3,3,3,3,43.592527408,-79.528501876
1815,80,2,3,2,3,1,3,3,3,3,3,43.592545281,-79.528407015
1814,68,1,1,1,2,3,3,3,3,3,1,43.592573631,-79.528276577
1813,93,1,3,3,3,3,3,3,3,3,2,43.592594591,-79.52818256
1812,92,3,3,3,3,3,3,3,3,3,2,43.592625398,-79.528050439
1811,82,1,2,2,2,3,3,3,3,1,3,43.592642046,-79.527957262
1810,82,1,1,3,3,3,3,3,3,1,3,43.592678404,-79.527798887
1808,94,3,3,3,3,3,3,3,3,3,3,43.5927138027,-79.5276951676
1809,65,2,2,1,3,3,3,1,3,1,2,43.5927621745,-79.527405433
1928,94,3,3,3,3,3,3,3,3,3,3,43.5933280046,-79.5267034096
891,98,3,3,3,3,3,3,3,3,3,3,43.594177992,-79.509613515
890,95,3,2,2,3,3,3,3,3,3,3,43.594648158,-79.505643653
702,92,3,3,2,3,1,1,3,3,3,3,43.595211507,-79.542969424
2653,94,3,3,2,3,3,3,3,3,3,3,43.595321466,-79.523394934
2655,88,1,3,1,3,3,3,3,3,3,3,43.5956296251,-79.5229429305
2654,93,1,3,2,3,3,3,3,3,3,3,43.595677145,-79.523533337
2656,93,1,3,2,3,3,3,3,3,3,3,43.59601136,-79.523701265
2651,91,3,3,2,3,3,3,3,3,3,3,43.596087937,-79.509696454
2657,62,2,2,2,3,1,1,1,1,1,2,43.5964677735,-79.5233498233
889,84,2,2,3,3,1,2,2,3,1,3,43.5965098168,-79.5007071218
2658,98,3,3,3,3,3,3,3,3,3,3,43.5975229121,-79.5232617105
2659,68,2,2,2,3,1,2,1,1,1,3,43.598276056,-79.521462199
2660,78,1,3,2,3,3,3,3,3,3,3,43.598935789,-79.522350466
1442,91,3,3,3,3,3,1,3,3,3,3,43.5991188211,-79.5012245162
1278,87,3,3,2,3,3,3,3,3,3,2,43.5997458878,-79.5057809161
3491,89,3,3,3,3,3,2,3,1,2,3,43.5997820747,-79.4996220466
1440,93,3,3,3,3,3,3,3,3,3,3,43.599882427,-79.513619138
1441,83,3,2,3,3,3,3,3,1,3,2,43.599991834,-79.513558562
1380,88,1,3,3,3,3,3,3,1,3,3,43.6004906208,-79.5030314026
2652,97,1,3,3,2,3,3,3,3,3,3,43.6006696381,-79.5115220432
2686,85,3,3,2,3,1,3,1,1,1,2,43.6009687445,-79.499480988
798,87,3,3,3,3,3,3,3,1,3,3,43.6009938518,-79.5179299016
1847,89,1,2,2,3,3,3,3,3,3,2,43.6010094451,-79.5177436619
1376,94,3,3,3,3,3,1,3,3,3,3,43.601120886,-79.515197379
1279,93,1,3,2,3,3,3,3,3,3,3,43.601151061,-79.506439811
887,89,1,3,3,3,3,3,3,1,3,3,43.6013719933,-79.501536643
1846,87,3,3,2,2,3,3,3,1,3,3,43.6014679321,-79.5154015755
2164,96,3,3,2,3,3,3,3,3,3,2,43.601468456,-79.505848789
1280,91,1,2,1,3,3,3,3,3,3,1,43.601494318,-79.506580956
888,79,1,2,3,3,3,3,1,3,3,2,43.6015075472,-79.4980054523
1377,85,3,3,3,3,1,3,3,1,3,2,43.6016913741,-79.5154841711
2634,88,3,3,3,3,3,3,3,1,3,2,43.6017504793,-79.4973496244
1281,93,1,3,2,3,3,3,3,3,3,3,43.601842503,-79.506732984
1378,92,3,3,3,3,3,3,3,3,3,3,43.6018725092,-79.5155664231
1379,88,3,3,3,3,3,3,3,3,3,2,43.6020354915,-79.5156367545
1282,94,3,3,2,3,3,3,3,3,3,3,43.602248316,-79.506894937
2165,94,1,3,2,3,3,3,3,3,3,3,43.602358477,-79.506187032
1443,93,3,3,3,3,3,3,3,3,3,3,43.6024061255,-79.5019729509
2867,85,3,2,3,3,3,1,3,1,3,2,43.6026815249,-79.5170398804
2475,88,3,3,2,3,3,3,3,3,3,3,43.6027168332,-79.4930979742
2866,70,2,2,1,3,1,1,1,1,1,1,43.6028075946,-79.5164885645
884,97,3,3,3,3,3,3,3,3,3,2,43.602838275,-79.4944408976
886,89,3,3,3,3,3,3,3,3,3,3,43.6028754682,-79.4965836376
882,96,3,3,3,3,3,3,3,3,3,3,43.6029845344,-79.4939230131
885,86,3,3,3,3,3,3,3,3,3,2,43.603004467,-79.4961219509
2532,98,3,3,3,3,3,3,3,3,3,3,43.6031676706,-79.4934504653
883,87,2,3,2,3,3,3,3,3,3,2,43.6034395527,-79.4942895822
881,90,3,3,3,3,1,1,1,3,2,3,43.6035699967,-79.4939393682
703,97,1,3,3,3,3,3,3,3,3,3,43.6083356867,-79.5473887151
2738,98,3,3,3,3,3,3,3,3,3,3,43.608471546,-79.546503305
880,91,3,3,3,3,3,3,3,3,3,3,43.6088644692,-79.4900435258
877,89,1,3,2,3,3,3,3,3,3,2,43.6090432374,-79.4898363283
878,88,3,3,3,3,3,3,3,3,3,3,43.6090707341,-79.4891854143
879,87,3,3,3,3,3,3,3,3,3,3,43.6090936183,-79.4886161506
2739,93,3,3,2,3,3,3,3,3,3,2,43.60920195,-79.546207508
874,92,2,3,3,3,3,3,3,3,3,2,43.6092734269,-79.4898141501
875,87,1,3,3,3,3,3,3,3,3,3,43.609303547,-79.4892009672
876,92,3,3,3,3,1,3,3,3,3,3,43.6093290014,-79.4885909687
873,96,2,3,3,3,3,3,3,3,3,2,43.6095054646,-79.4897087235
1351,97,3,3,3,3,3,3,3,3,3,3,43.609663204,-79.550566638
872,94,1,1,3,3,3,3,3,3,3,1,43.6096967981,-79.4880818409
869,94,1,3,3,3,3,3,3,3,3,1,43.6100510941,-79.4881859662
870,93,3,2,3,3,3,3,3,3,3,2,43.6100722111,-79.4872983362
866,92,2,3,2,3,3,3,3,3,3,3,43.6101831739,-79.4899009077
867,93,1,3,3,3,3,3,3,3,3,2,43.6102058206,-79.4892486213
868,96,1,3,3,3,3,3,3,3,3,1,43.6103321169,-79.4890126716
865,86,2,3,3,3,3,1,1,1,1,2,43.610690629,-79.48977037
1350,83,3,2,3,3,3,3,3,3,3,3,43.610802275,-79.550398922
1349,91,2,2,2,3,1,3,3,3,3,3,43.610859495,-79.550105854
871,84,3,2,3,3,1,1,1,1,1,1,43.6109821847,-79.4903809388
864,70,1,1,2,2,1,1,1,3,1,1,43.6112488436,-79.4897028689
835,90,2,3,2,3,3,3,3,3,3,3,43.6115410495,-79.489468582
834,92,2,3,3,3,3,3,3,3,3,3,43.6117781476,-79.4895548881
833,80,3,3,3,3,3,0,0,0,0,1,43.6119437281,-79.4894785843
832,91,2,3,2,3,3,3,3,3,3,2,43.612333855,-79.489150548
831,96,3,3,3,3,3,3,3,3,3,3,43.612371813,-79.487921602
1283,95,2,3,2,3,3,3,3,3,3,2,43.613576463,-79.494935739
3163,85,1,2,3,3,2,1,3,3,3,2,43.613801842,-79.493300533
3254,91,3,3,3,3,1,1,3,3,3,2,43.614181524,-79.487650972
830,80,1,3,2,2,1,1,1,1,1,3,43.614222822,-79.488713
3252,88,2,3,3,3,1,1,1,1,1,3,43.6143308517,-79.4872977904
3251,79,2,2,3,3,1,1,1,1,1,2,43.6148862856,-79.4869596111
3253,91,3,3,3,3,3,3,3,3,3,2,43.6150903921,-79.4868989887
3162,76,3,3,3,3,0,0,0,0,0,2,43.615128194,-79.494970804
829,81,3,2,3,2,1,1,1,1,1,3,43.6154404667,-79.4878892475
759,93,1,1,3,3,3,3,3,3,3,2,43.6154876721,-79.4969959174
3164,88,3,3,2,3,1,1,1,1,1,3,43.6157071247,-79.4949147117
828,77,3,3,1,3,3,3,3,3,3,1,43.615736635,-79.4878821357
827,75,2,2,3,2,3,3,3,3,3,3,43.6158682454,-79.4878084713
1897,95,3,2,3,3,3,2,3,3,3,3,43.6158886447,-79.4889237637
1898,97,3,3,3,3,3,3,3,3,3,3,43.6159770796,-79.4891131322
3161,76,2,3,3,2,0,0,0,0,0,2,43.6160393846,-79.4896739143
826,77,3,1,2,3,3,3,3,3,3,1,43.616065741,-79.4876962773
758,94,3,2,3,3,3,3,3,3,3,3,43.616184074,-79.49590117
1899,94,1,2,2,3,3,3,3,3,3,3,43.6162416017,-79.4892718985
825,94,2,3,3,3,3,3,3,3,3,3,43.6166019564,-79.4868558725
2533,98,3,3,3,3,3,3,3,3,3,3,43.6169208542,-79.499346131
824,92,3,3,2,3,3,3,3,3,3,2,43.6169356849,-79.4866758705
823,93,3,3,2,3,3,3,3,3,3,1,43.617341413,-79.486574349
822,85,3,2,3,3,3,3,3,3,3,2,43.617555557,-79.4865219848
821,78,1,1,3,3,3,1,1,1,3,2,43.6177159242,-79.4864921975
820,99,3,3,3,3,3,3,3,3,3,3,43.6178366581,-79.4863780789
819,99,3,3,3,3,3,3,3,3,3,3,43.6179988293,-79.4862937261
818,99,3,3,3,3,3,3,3,3,3,3,43.6181573986,-79.4862044027
817,93,2,3,3,3,3,3,3,3,3,3,43.618345357,-79.4857916562
3418,97,3,3,3,3,3,3,3,3,3,2,43.625438662,-79.505757136
3417,98,1,3,3,3,3,3,3,3,3,3,43.625636744,-79.504530803
37,94,2,3,2,3,3,3,3,3,3,2,43.6275335945,-79.5780494311
36,92,1,2,3,2,3,3,3,3,3,1,43.6284746856,-79.5796399748
35,74,3,2,3,1,1,3,3,3,3,1,43.6291344462,-79.5787506011
34,92,1,3,2,3,3,3,3,3,3,3,43.6301975537,-79.5798906401
1682,93,3,3,3,3,3,3,3,3,3,2,43.632109972,-79.576154353
2189,87,3,2,3,3,1,3,3,1,3,3,43.634373643,-79.435343202
2187,95,2,3,3,1,3,3,3,3,3,2,43.634377833,-79.434675684
400,87,3,2,3,3,1,3,1,3,3,1,43.634431422,-79.433898529
2958,82,3,2,3,1,1,3,3,3,3,3,43.634517342,-79.428882498
288,77,2,1,2,3,1,1,3,3,3,2,43.6345619465,-79.4922664925
3218,80,2,2,2,2,3,3,3,3,3,1,43.634582958,-79.400007688
2957,82,2,3,2,3,1,3,3,3,3,3,43.634604022,-79.426092351
2192,91,1,3,3,3,3,3,3,3,3,3,43.634755045,-79.435435459
2050,94,3,3,3,3,3,3,3,3,3,1,43.6348017129,-79.4912245002
2188,90,2,3,3,3,3,3,3,3,3,2,43.634808178,-79.434763919
2918,83,3,2,3,3,1,1,1,1,1,1,43.634901103,-79.429121805
