OBJECTID,NEIGHBOURHOOD_NAME,HOOD_158,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,ASSAULT_2024,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,ASSAULT_RATE_2024,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_2024,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,AUTOTHEFT_RATE_2024,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BIKETHEFT_2024,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BIKETHEFT_RATE_2024,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_2024,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,BREAKENTER_RATE_2024,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,HOMICIDE_2024,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,HOMICIDE_RATE_2024,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,ROBBERY_2024,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,ROBBERY_RATE_2024,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,SHOOTING_2024,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,SHOOTING_RATE_2024,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_2024,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTFROMMV_RATE_2024,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023,THEFTOVER_2024,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,THEFTOVER_RATE_2024,POPULATION_2024,Shape__Area,Shape__Length
1,South Eglinton-Davisville,174,55,56,66,73,74,62,74,106,122,100,124,301.171844482422,304.911254882813,343.017517089844,358.828155517578,345.778228759766,276.304656982422,315.269256591797,429.549774169922,479.239501953125,373.468780517578,452.505187988281,2,4,3,8,15,8,14,15,10,20,16,10.9517030715942,21.7793750762939,15.5917053222656,39.3236351013184,70.0901794433594,35.652214050293,59.6455345153809,60.7853469848633,39.281925201416,74.6937561035156,58.387767791748,14,19,27,33,29,42,92,33,16,37,21,76.6619186401367,103.452033996582,140.325347900391,162.209991455078,135.507690429688,187.174118041992,391.956359863281,133.727767944336,62.8510818481445,138.183441162109,76.6339416503906,27,32,25,37,48,83,69,44,24,43,52,147.847991943359,174.235000610352,129.930877685547,181.871810913086,224.288589477539,369.891693115234,293.96728515625,178.303680419922,94.2766265869141,160.591567993164,189.760238647461,0,0,1,0,0,1,1,1,0,0,0,0,0,5.19723510742188,0,0,4.45652675628662,4.26039552688599,4.05235624313354,0,0,0,10,8,8,7,12,5,16,9,15,3,16,54.7585144042969,43.5587501525879,41.577880859375,34.4081802368164,56.0721473693848,22.2826328277588,68.1663284301758,36.4712066650391,58.9228897094727,11.2040634155273,58.387767791748,1,0,1,0,1,0,1,0,1,0,2,5.47585153579712,0,5.19723510742188,0,4.67267894744873,0,4.26039552688599,0,3.92819261550903,0,7.29847097396851,13,18,11,16,18,24,41,22,42,40,25,71.1860656738281,98.0071868896484,57.1695861816406,78.6472702026367,84.1082229614258,106.956634521484,174.676208496094,89.1518402099609,164.984085083008,149.387512207031,91.2308883666992,4,3,4,1,3,3,4,6,3,8,6,21.9034061431885,16.3345317840576,20.7889404296875,4.91545438766479,14.0180368423462,13.3695793151855,17.0415821075439,24.3141384124756,11.7845783233643,29.8775024414063,21.8954124450684,27403,944309.032714844,4005.54988673295
2,North Toronto,173,53,57,47,61,66,84,80,118,136,105,128,455.757171630859,492.313018798828,406.328338623047,485.359649658203,485.329803466797,573.809692382813,510.301727294922,703.092407226563,765.938293457031,550.083801269531,642.344543457031,7,1,2,2,4,4,12,14,10,18,9,60.1943435668945,8.63707065582275,17.2905673980713,15.9134311676025,29.4139270782471,27.3242702484131,76.5452575683594,83.4177474975586,56.3189926147461,94.3000869750977,45.164852142334,8,13,9,14,18,22,52,23,12,22,14,68.7935333251953,112.281913757324,77.8075561523438,111.394020080566,132.362670898438,150.283493041992,331.696105957031,137.043441772461,67.5827865600586,115.255661010742,70.2564392089844,25,44,15,24,42,36,89,49,48,31,31,214.979797363281,380.031097412109,129.679260253906,190.961166381836,308.846252441406,245.918441772461,567.710632324219,291.962097167969,270.331146240234,162.405700683594,155.567825317383,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.83106756210327,6.37877130508423,0,0,0,0,7,12,8,6,14,19,3,12,12,14,18,60.1943435668945,103.644844055176,69.1622695922852,47.740291595459,102.948745727539,129.790283203125,19.1363143920898,71.5009231567383,67.5827865600586,73.3445129394531,90.329704284668,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,6.83106756210327,0,5.95841026306152,5.63189888000488,0,5.01831674575806,23,7,15,14,8,18,26,16,24,40,11,197.781402587891,60.4594917297363,129.679260253906,111.394020080566,58.8278541564941,122.95922088623,165.848052978516,95.3345642089844,135.165573120117,209.555740356445,55.2014846801758,2,3,2,2,5,4,7,2,4,7,6,17.1983833312988,25.9112110137939,17.2905673980713,15.9134311676025,36.7674102783203,27.3242702484131,44.6514015197754,11.916820526123,22.5275955200195,36.6722564697266,30.1099014282227,19927,402030.818359375,2543.94588412104
3,Dovercourt Village,172,62,65,92,105,106,113,91,115,103,104,120,456.150665283203,481.41015625,680.423034667969,783.640563964844,798.613708496094,859.838684082031,698.495544433594,883.392211914063,781.6650390625,764.481018066406,876.680297851563,10,13,18,15,12,13,24,10,25,27,36,73.5726928710938,96.2820358276367,133.126251220703,111.948654174805,90.4091033935547,98.9194946289063,184.218612670898,76.8167190551758,189.724517822266,198.471038818359,263.004089355469,29,35,55,47,30,27,32,27,20,38,34,213.360794067383,259.220855712891,406.774658203125,350.7724609375,226.022750854492,205.448181152344,245.624801635742,207.405136108398,151.77961730957,279.329620361328,248.39274597168,38,22,38,39,50,83,47,19,33,46,45,279.576232910156,162.938827514648,281.044311523438,291.066497802734,376.70458984375,631.562927246094,360.761444091797,145.951751708984,250.436370849609,338.135833740234,328.755126953125,1,0,0,1,0,2,1,0,0,0,0,7.35726881027222,0,0,7.46324348449707,0,15.2183837890625,7.67577505111694,0,0,0,0,29,27,16,42,35,17,16,22,14,21,12,213.360794067383,199.970367431641,118.334442138672,313.456237792969,263.693206787109,129.356262207031,122.812400817871,168.996780395508,106.245727539063,154.366363525391,87.6680297851563,0,0,2,0,0,0,0,2,0,1,2,0,0,14.791805267334,0,0,0,0,15.3633432388306,0,7.35077905654907,14.6113386154175,45,38,51,43,87,79,68,18,29,25,22,331.077117919922,281.439788818359,377.191040039063,320.919464111328,655.466003417969,601.126159667969,521.952697753906,138.270080566406,220.080444335938,183.769485473633,160.724716186523,5,3,5,3,4,4,3,2,4,3,7,36.7863464355469,22.2189311981201,36.9795150756836,22.3897304534912,30.1363677978516,30.436767578125,23.0273265838623,15.3633432388306,30.3559226989746,22.0523376464844,51.1396827697754,13688,1503002.17700195,4965.49644819322
4,Junction-Wallace Emerson,171,164,159,171,161,163,186,171,182,138,230,195,698.258605957031,667.0302734375,698.329711914063,657.384338378906,665.333251953125,758.904907226563,696.878295898438,734.997192382813,541.728820800781,860.005981445313,713.553894042969,21,17,12,18,32,25,44,34,47,35,45,89.4111633300781,71.3176956176758,49.0055961608887,73.4963836669922,130.617568969727,102.003349304199,179.313720703125,137.307159423828,184.501846313477,130.870468139648,164.666275024414,42,41,50,63,67,70,54,36,34,55,41,178.822326660156,172.001510620117,204.189971923828,257.237365722656,273.480560302734,285.609375,220.066833496094,145.384063720703,133.469421386719,205.653610229492,150.029281616211,37,46,41,51,91,103,110,76,56,82,77,157.533950805664,192.977310180664,167.435775756836,208.239761352539,371.443725585938,420.253784179688,448.284301757813,306.921905517578,219.831985473633,306.61083984375,281.762298583984,1,3,0,1,0,1,0,0,0,0,0,4.25767469406128,12.5854759216309,0,4.08313274383545,0,4.08013391494751,0,0,0,0,0,26,30,27,30,22,32,23,11,20,18,12,110.69953918457,125.854766845703,110.262588500977,122.493980407715,89.7995834350586,130.56428527832,93.7321701049805,44.4229049682617,78.5114212036133,67.304817199707,43.9110069274902,0,2,1,5,3,2,4,4,3,2,0,0,8.39031791687012,4.08379936218262,20.4156627655029,12.245397567749,8.16026782989502,16.3012466430664,16.1537837982178,11.7767133712769,7.47831296920776,0,74,26,48,72,153,124,144,53,63,58,71,315.067901611328,109.074127197266,196.022384643555,293.985534667969,624.515258789063,505.936584472656,586.844909667969,214.037643432617,247.310989379883,216.871078491211,259.806793212891,5,5,6,6,9,4,9,8,8,9,13,21.2883720397949,20.975793838501,24.5027980804443,24.4987945556641,36.7361946105957,16.32053565979,36.677806854248,32.3075675964355,31.4045696258545,33.6524085998535,47.5702590942383,27328,2222866.7331543,7435.19238437126
5,Yonge-Bay Corridor,170,387,521,481,602,576,660,377,325,441,542,556,3750,4761.90478515625,4127.6923828125,4989.6396484375,4621.68017578125,5131.39501953125,2841.63720703125,2359.3466796875,3017.654296875,3433.42211914063,3355.86669921875,12,20,20,14,27,38,14,16,29,46,37,116.279067993164,182.798645019531,171.629623413086,116.038124084473,216.641250610352,295.443939208984,105.52498626709,116.152450561523,198.439849853516,291.397430419922,223.322067260742,220,154,202,214,263,220,172,167,229,228,192,2131.78295898438,1407.54956054688,1733.45922851563,1773.72570800781,2110.24633789063,1710.46496582031,1296.44982910156,1212.34118652344,1566.99060058594,1444.31774902344,1158.86047363281,69,115,60,125,99,119,148,112,123,108,94,668.604675292969,1051.09216308594,514.888854980469,1036.0546875,794.351257324219,925.2060546875,1115.5498046875,813.067138671875,841.65869140625,684.150512695313,567.358764648438,1,2,0,0,1,2,0,1,1,1,1,9.68992233276367,18.2798652648926,0,0,8.02375030517578,15.5496816635132,0,7.25952816009521,6.84275341033936,6.33472681045532,6.03573131561279,72,52,73,86,90,63,55,50,55,60,65,697.674438476563,475.276489257813,626.448120117188,712.8056640625,722.137512207031,489.814971923828,414.562438964844,362.976409912109,376.351440429688,380.083618164063,392.322540283203,1,3,0,3,4,4,2,0,1,2,1,9.68992233276367,27.4197978973389,0,24.8653125762939,32.0950012207031,31.0993633270264,15.0749979019165,0,6.84275341033936,12.6694536209106,6.03573131561279,120,102,77,86,112,171,135,63,107,76,77,1162.79064941406,932.273071289063,660.774047851563,712.8056640625,898.660034179688,1329.49780273438,1017.56237792969,457.350280761719,732.174621582031,481.439239501953,464.751342773438,37,30,27,35,44,63,35,26,51,52,48,358.527130126953,274.197967529297,231.699996948242,290.095306396484,353.045013427734,489.814971923828,263.812469482422,188.74772644043,348.980438232422,329.405792236328,289.715118408203,16568,1118724.5456543,4811.10766870277
6,Bay-Cloverhill,169,107,101,122,155,136,166,106,146,122,141,122,764.0673828125,691.922973632813,795.929016113281,965.551635742188,812.425354003906,954.023010253906,588.006896972656,779.040588378906,611.436889648438,648.872497558594,533.216796875,6,4,6,7,15,13,9,23,14,16,8,42.8449020385742,27.4028911590576,39.1440505981445,43.6055564880371,89.6057357788086,74.712646484375,49.9251136779785,122.725578308105,70.1648864746094,73.6309280395508,34.9650344848633,76,86,97,100,100,66,59,58,67,56,44,542.702087402344,589.162170410156,632.828796386719,622.9365234375,597.37158203125,379.310333251953,327.286834716797,309.481872558594,335.789093017578,257.708251953125,192.307693481445,26,45,59,54,72,82,80,38,43,63,70,185.661239624023,308.282531738281,384.91650390625,336.385711669922,430.107513427734,471.264373779297,443.778778076172,202.76399230957,215.506439208984,289.921752929688,305.944061279297,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.74712657928467,0,0,0,0,0,12,15,19,22,29,36,18,21,20,20,18,85.6898040771484,102.760841369629,123.956161499023,137.046035766602,173.237747192383,206.896545410156,99.850227355957,112.053787231445,100.235549926758,92.0386581420898,78.6713256835938,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5.97371578216553,0,0,0,5.01177787780762,4.60193300247192,0,38,24,25,18,32,33,35,21,26,40,61,271.351043701172,164.417343139648,163.100204467773,112.128570556641,191.158905029297,189.655166625977,194.153213500977,112.053787231445,130.306213378906,184.07731628418,266.6083984375,16,13,13,14,9,10,7,10,9,13,25,114.253067016602,89.0593948364258,84.8121109008789,87.2111129760742,53.7634391784668,57.471263885498,38.8306427001953,53.358943939209,45.1059989929199,59.8251266479492,109.265731811523,22880,690548.715332031,3359.58320926838
7,Bendale-Glen Andrew,156,137,149,174,168,183,204,134,129,166,242,197,734.939086914063,787.692932128906,876.132934570313,844.645568847656,919.736633300781,1024.91955566406,673.299194335938,643.359436035156,813.565979003906,1142.31762695313,919.615356445313,35,37,42,25,39,35,46,76,84,150,123,187.758163452148,195.601608276367,211.480361938477,125.691299438477,196.00944519043,175.844055175781,231.132553100586,379.033477783203,411.683990478516,708.048156738281,574.176086425781,10,7,4,23,2,3,1,4,6,10,14,53.645191192627,37.0057106018066,20.1409873962402,115.636001586914,10.0517663955688,15.0723476409912,5.0246205329895,19.9491291046143,29.4059982299805,47.2032089233398,65.3533782958984,71,33,30,27,33,30,20,19,24,28,23,380.880859375,174.455490112305,151.057403564453,135.746612548828,165.854156494141,150.723480224609,100.492416381836,94.7583694458008,117.623992919922,132.168991088867,107.366256713867,0,0,2,0,0,1,1,0,2,0,2,0,0,10.0704936981201,0,0,5.02411556243896,5.0246205329895,0,9.80200004577637,0,9.33619689941406,53,55,49,67,44,35,19,49,54,52,55,284.319519042969,290.759155273438,246.727096557617,336.852691650391,221.138870239258,175.844055175781,95.4677886962891,244.376846313477,264.653991699219,245.456695556641,256.745391845703,1,1,3,5,1,3,7,5,7,1,3,5.3645191192627,5.28653001785278,15.1057405471802,25.1382598876953,5.02588319778442,15.0723476409912,35.1723442077637,24.9364128112793,34.306999206543,4.72032117843628,14.0042943954468,84,64,45,64,53,50,44,41,69,77,72,450.619598388672,338.337921142578,226.58610534668,321.769744873047,266.371826171875,251.205795288086,221.083312988281,204.478576660156,338.168975830078,363.464721679688,336.103057861328,6,8,8,17,13,8,4,7,13,20,18,32.1871147155762,42.2922401428223,40.2819747924805,85.470085144043,65.3364791870117,40.1929244995117,20.098482131958,34.9109764099121,63.7129974365234,94.4064178466797,84.025764465332,21422,4913225.28295898,9230.79989765376
8,Downsview,155,111,125,128,133,121,138,124,138,141,203,208,703.51123046875,792.242370605469,807.672912597656,806.598327636719,708.970520019531,782.889892578125,682.218322753906,731.707336425781,714.394287109375,964.6455078125,952.860900878906,36,32,38,31,32,69,52,61,128,97,80,228.165802001953,202.814041137695,239.777893066406,188.004119873047,187.496337890625,391.444946289063,286.091552734375,323.435852050781,648.528137207031,460.938995361328,366.484954833984,7,4,9,4,9,8,5,6,4,8,8,44.3655738830566,25.3517551422119,56.7895011901855,24.2585964202881,52.7333450317383,45.3849220275879,27.5088024139404,31.813362121582,20.2665042877197,38.0155868530273,36.648494720459,30,33,28,26,42,37,45,28,32,74,30,190.138168334961,209.151977539063,176.678451538086,157.680877685547,246.088943481445,209.905258178711,247.579223632813,148.462356567383,162.132034301758,351.644165039063,137.431854248047,1,0,0,0,1,2,2,0,0,0,0,6.33793878555298,0,0,0,5.85926055908203,11.346230506897,11.0035209655762,0,0,0,0,29,24,13,18,32,21,6,11,26,28,19,183.800231933594,152.110534667969,82.0292816162109,109.163688659668,187.496337890625,119.135414123535,33.0105628967285,58.3244972229004,131.732284545898,133.054550170898,87.0401763916016,4,2,2,5,2,7,3,0,3,3,1,25.3517551422119,12.675877571106,12.6198892593384,30.3232460021973,11.7185211181641,39.7118072509766,16.5052814483643,0,15.199878692627,14.2558450698853,4.58106184005737,60,50,61,51,62,72,76,56,64,70,50,380.276336669922,316.896942138672,384.906616210938,309.297119140625,363.274169921875,408.464294433594,418.1337890625,296.924713134766,324.264068603516,332.636383056641,229.053100585938,5,11,3,12,3,7,10,5,15,17,14,31.6896953582764,69.7173309326172,18.9298343658447,72.7757873535156,17.5777816772461,39.7118072509766,55.0176048278809,26.5111351013184,75.9993896484375,80.7831192016602,64.1348648071289,21829,8282833.37353516,14053.3016763336
9,Oakdale-Beverley Heights,154,220,232,230,277,302,295,235,292,309,447,407,1081.77209472656,1144.15344238281,1135.41003417969,1342.50952148438,1438.36926269531,1379.92333984375,1081.25512695313,1312.53649902344,1344.76452636719,1846.64953613281,1642.1884765625,66,70,51,53,75,92,103,115,106,164,110,324.531646728516,345.218719482422,251.76481628418,256.870056152344,357.210906982422,430.348968505859,473.911834716797,516.923645019531,461.310821533203,677.517944335938,443.834747314453,5,8,7,1,7,8,11,9,14,12,16,24.585729598999,39.4535675048828,34.5559577941895,4.84660482406616,33.3396835327148,37.4216499328613,50.611946105957,40.454891204834,60.9278450012207,49.5744857788086,64.5577774047852,57,43,24,32,44,80,44,63,50,88,58,280.277313232422,212.062927246094,118.477561950684,155.091354370117,209.563720703125,374.216491699219,202.447784423828,283.184234619141,217.59944152832,363.546234130859,234.021942138672,0,0,0,2,0,1,0,0,2,1,1,0,0,0,9.69320964813232,0,4.67770624160767,0,0,8.70397758483887,4.13120698928833,4.03486108779907,41,39,34,46,38,41,49,29,39,30,36,201.602996826172,192.336151123047,167.843215942383,222.943832397461,180.986862182617,191.785949707031,225.453201293945,130.35466003418,169.727569580078,123.936210632324,145.255004882813,4,4,3,6,7,3,5,9,7,6,8,19.6685848236084,19.7267837524414,14.8096952438354,29.0796298980713,33.3396835327148,14.0331182479858,23.0054302215576,40.454891204834,30.4639225006104,24.7872428894043,32.2788887023926,75,41,43,62,117,119,158,113,105,73,92,368.785949707031,202.19953918457,212.272308349609,300.489501953125,557.2490234375,556.647033691406,726.971557617188,507.933654785156,456.958831787109,301.578125,371.207244873047,10,4,8,9,11,7,14,18,19,23,15,49.171459197998,19.7267837524414,39.4925193786621,43.6194458007813,52.3909301757813,32.7439422607422,64.4151992797852,80.909782409668,82.6877899169922,95.0177612304688,60.5229187011719,24784,6685141.25830078,12397.4903776028
10,Avondale,153,32,31,37,44,65,40,41,49,36,49,51,249.337692260742,228.951248168945,259.503448486328,307.541748046875,452.993225097656,277.8935546875,283.874542236328,335.869476318359,239.616607666016,310.913696289063,317.085296630859,9,4,5,1,8,13,32,30,19,25,17,70.1262283325195,29.5420970916748,35.0680313110352,6.98958539962769,55.7530136108398,90.3154067993164,221.560623168945,205.634384155273,126.464324951172,158.629440307617,105.695098876953,3,7,14,20,6,12,37,20,27,9,8,23.3754081726074,51.6986694335938,98.1904907226563,139.791717529297,41.8147621154785,83.3680725097656,256.179473876953,137.089584350586,179.712463378906,57.1065979003906,49.7388725280762,11,9,7,11,13,13,13,17,8,19,21,85.709831237793,66.4697189331055,49.0952453613281,76.8854370117188,90.5986480712891,90.3154067993164,90.0090026855469,116.526153564453,53.2481346130371,120.558372497559,130.564529418945,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,76.6603927612305,0,6.92376947402954,0,6.65601682662964,0,0,2,3,1,6,7,3,9,6,1,6,12,15.5836057662964,22.1565723419189,7.01360654830933,41.9375114440918,48.7838859558105,20.8420181274414,62.3139228820801,41.1268768310547,6.65601682662964,38.0710678100586,74.6083068847656,1,0,0,1,0,0,1,0,0,1,0,7.79180288314819,0,0,6.98958539962769,0,0,6.92376947402954,0,0,6.34517765045166,0,8,6,14,9,8,22,36,25,40,64,21,62.3344230651855,44.3131446838379,98.1904907226563,62.9062690734863,55.7530136108398,152.841461181641,249.25569152832,171.36198425293,266.240692138672,406.091369628906,130.564529418945,2,1,5,5,5,4,3,5,9,5,3,15.5836057662964,7.3855242729187,35.0680313110352,34.9479293823242,34.8456344604492,27.7893562316895,20.7713069915771,34.2723960876465,59.9041519165039,31.7258892059326,18.6520767211914,16084,1031682.44189453,5253.84815377906
