Ward,2019,2020,2021,2022,"2023
(Jan 1 to Jun 30)",Total
1,117,75,75,67,17,351
2,321,240,315,165,76,1117
3,360,284,330,222,131,1327
4,362,185,341,176,87,1151
5,306,192,222,136,67,923
6,206,132,152,118,41,649
7,69,37,36,27,20,189
8,350,212,293,131,84,1070
9,400,276,326,207,99,1308
10,72,24,36,20,12,164
11,228,133,186,129,53,729
12,246,157,253,131,54,841
13,25,17,16,19,10,87
14,499,327,447,297,149,1719
15,225,164,227,137,70,823
16,83,73,107,49,37,349
17,59,33,54,35,15,196
18,117,82,100,64,46,409
19,425,301,394,260,139,1519
20,222,158,193,141,51,765
21,150,104,100,62,38,454
22,24,25,28,20,13,110
23,18,16,26,14,5,79
24,94,49,82,35,24,284
25,95,72,58,42,21,288
