_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1,GO-2020813480,2014,2014-08-01,1200,2020,2020-04-30,1904,D33,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,No,Wilful Promotion of Hatred,053,Henry Farm (53),053,Henry Farm (53),No
2,GO-2019601581,2016,2016-01-01,900,2019,2019-04-03,1956,D42,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,None,None,None,Gay,None,No,This should be removed,144,Morningside Heights (144),131,Rouge (131),No
3,GO-2019728283,2016,2016-09-01,0,2019,2019-04-23,754,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,No,Assault With a Weapon,173,North Toronto (173),104,Mount Pleasant West (104),No
4,GO-2018698451,2017,2017-06-22,824,2018,2018-04-19,1015,D52,Streets/Roadways/Highway,NO,NO,None,None,None,None,None,Woman,No,Assault With a Weapon,164,Wellington Place (164),077,Waterfront Communities-The Island (77),Yes
5,GO-2018695170,2017,2017-09-05,900,2018,2018-04-19,1333,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,099,Mount Pleasant East (99),099,Mount Pleasant East (99),No
6,GO-2018434738,2017,2017-11-15,0,2018,2018-03-09,907,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,173,North Toronto (173),104,Mount Pleasant West (104),No
7,GO-2018337089,2017,2017-12-18,0,2018,2018-02-23,1436,D32,Business/Retail,NO,NO,White,None,None,Jewish,None,None,Yes,Indecent Communications,035,Westminster-Branson (35),035,Westminster-Branson (35),No
8,GO-20187368,2017,2017-12-29,1600,2018,2018-01-02,1446,D53,Other Commercial / Corporate Places ,NO,NO,None,None,None,Muslim,None,None,No,Mischief Under $5000,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),No
9,GO-201826213,2018,2018-01-03,1200,2018,2018-01-05,1321,D13,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Wilful Promotion of Hatred,102,Forest Hill North (102),102,Forest Hill North (102),No
10,GO-201846652,2018,2018-01-08,1757,2018,2018-01-08,1757,D53,NA,NO,NO,None,None,None,Muslim,None,None,No,Assault,099,Mount Pleasant East (99),099,Mount Pleasant East (99),Yes
