Total - Visible minority for the population in private households - 25% sample data,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Arab,    Latin American,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Neighbourhood Number
33300,28035,13815,345,6125,2075,460,1600,530,415,130,45,1560,935,5265,1
31345,27975,10195,320,8315,1160,1985,1350,450,1835,75,0,1405,870,3370,2
9850,6705,2715,80,1590,205,290,645,250,370,20,0,300,240,3150,3
10375,5985,1530,110,1870,575,65,725,215,220,40,20,355,255,4395,4
9355,6465,780,130,2830,760,150,890,290,140,110,0,145,245,2890,5
22010,13825,3065,385,5860,825,405,1145,390,495,180,35,420,620,8180,6
22445,9785,2110,530,3290,795,260,1100,285,305,410,50,295,345,12665,7
10005,3160,385,100,1125,250,75,515,125,110,135,25,140,170,6845,8
15190,3790,510,480,1000,185,35,935,195,65,120,45,100,115,11400,9
11170,2640,640,600,335,115,45,210,75,95,245,65,35,175,8535,10
18450,5785,1490,735,1020,510,155,485,180,170,365,120,235,305,12665,11
10365,1860,430,405,170,175,75,160,40,40,170,55,70,85,8510,12
11865,5485,1470,310,1130,745,85,545,175,185,240,40,250,310,6380,13
8855,1195,285,260,60,85,25,95,65,115,60,30,20,100,7660,15
25655,6025,1295,920,680,380,195,550,440,290,250,140,490,385,19630,16
11345,4595,740,330,1370,525,120,475,170,55,80,25,435,285,6750,18
11360,3750,720,490,765,410,85,405,240,110,70,80,210,170,7610,19
12595,3240,735,460,375,565,135,240,135,60,55,60,250,170,9355,20
12185,8000,3750,75,1360,515,355,670,550,155,40,0,295,230,4185,21
16955,13720,2870,145,4305,1610,135,2190,1255,165,125,15,400,515,3225,22
11290,5890,830,375,1635,755,50,870,680,160,45,15,230,235,5400,23
21145,17850,2010,560,6530,1240,810,1650,2715,560,35,10,880,845,3295,24
30025,23585,2030,835,7005,2300,230,3255,4865,500,30,25,1210,1295,6440,25
28255,21400,4490,1210,5590,3815,300,1730,1750,570,395,45,625,880,6855,27
9390,6000,490,60,3500,480,25,710,350,15,0,30,135,215,3390,28
9840,4665,780,65,700,1395,105,940,280,65,25,10,30,255,5180,29
17495,12170,1325,320,4955,1520,90,1660,1230,90,15,20,330,635,5325,30
16625,8555,1140,745,1695,1580,115,1365,755,150,155,15,400,435,8070,31
21290,9305,455,505,2155,4375,100,675,265,260,35,30,120,335,11985,32
17620,8165,755,845,1015,3455,85,575,270,340,205,50,160,415,9460,33
15955,6795,675,820,615,2300,110,590,300,540,375,15,170,275,9155,34
25705,13660,955,680,1060,6955,295,720,300,1205,725,35,295,440,12040,35
23805,15645,1210,2560,730,4940,310,515,385,2005,2165,90,155,585,8165,36
17165,10940,925,4130,375,500,185,250,210,1905,1925,120,70,350,6225,37
15910,7610,1110,2040,310,1255,145,335,200,965,825,80,100,245,8300,38
22145,5620,575,1150,485,1595,145,430,165,405,230,55,100,285,16520,39
16955,9290,1165,4290,650,415,180,295,80,1200,555,95,180,180,7670,40
8940,3280,365,1530,65,105,145,65,50,560,120,30,30,215,5665,41
27150,14645,3095,4830,1250,1420,455,335,190,1295,540,285,325,620,12510,42
17365,10915,3050,845,2160,1325,1205,445,80,800,80,65,380,480,6450,43
22530,18080,7730,1095,2570,2345,620,350,235,2045,250,60,260,515,4450,44
15220,10195,1720,4890,890,650,485,245,150,385,325,90,115,255,5025,46
26770,19895,3710,6250,1215,2485,855,785,270,2530,780,115,225,675,6875,47
16345,12920,1840,7420,795,280,165,220,235,790,655,90,95,350,3425,48
12085,8265,815,4010,595,195,125,180,200,1090,700,30,65,275,3815,49
15345,11670,995,4425,370,530,125,415,130,2480,1710,60,75,350,3675,50
22330,16145,1845,6445,870,695,335,530,260,2710,1480,170,185,600,6185,52
19840,16455,5635,3900,1355,1370,845,530,250,1435,415,120,150,445,3385,53
18405,8035,1875,715,2470,1005,200,430,195,485,105,70,180,305,10370,54
20400,16735,9165,485,1505,1570,885,430,115,1930,50,25,185,385,3665,55
16535,3560,565,1265,240,240,65,195,50,275,270,105,45,235,12980,56
10955,3605,680,460,695,535,160,300,100,160,65,50,130,260,7355,57
9160,2545,395,530,320,475,90,125,160,105,50,60,50,185,6615,58
17065,5500,1065,1585,780,515,115,360,225,110,85,120,135,410,11565,59
7915,2930,420,865,615,310,30,185,50,85,75,95,65,140,4980,60
15025,10475,5995,470,1695,820,210,420,85,235,110,50,135,260,4550,61
21845,7090,1785,1095,1540,670,140,470,70,275,200,125,185,540,14750,62
21505,3440,720,720,480,245,50,265,145,90,105,140,145,330,18070,63
12205,3530,650,795,845,205,105,225,85,40,75,110,105,285,8675,64
14120,5350,1155,1820,785,265,95,195,370,65,90,100,85,320,8775,65
9310,2655,705,825,325,120,45,95,80,35,45,90,60,235,6650,66
7680,1505,290,325,210,70,45,130,70,25,80,55,40,165,6180,67
11290,3040,425,1335,270,125,50,90,145,55,75,100,100,275,8250,68
7475,3175,510,935,800,60,115,160,165,75,25,55,65,200,4305,69
27815,11210,1265,4820,1640,555,190,430,815,210,185,230,115,770,16605,70
11020,3735,680,545,675,605,105,385,170,80,130,130,75,155,7285,71
12750,9025,2970,1170,2105,560,410,380,530,175,145,45,115,410,3725,72
21495,11000,2285,2080,2895,490,460,645,545,300,340,165,190,605,10490,73
18535,13095,4125,775,2450,2840,535,700,270,490,295,95,135,385,5440,74
18120,11405,1130,5630,1210,545,315,480,660,220,310,105,175,630,6715,78
6435,2450,315,950,260,95,55,205,65,55,180,75,45,145,3985,79
13120,3190,375,1070,420,160,90,285,150,115,175,105,45,200,9935,80
15415,5075,360,2790,475,200,80,225,300,95,60,160,100,240,10340,81
11210,3580,660,735,530,225,55,495,280,45,110,120,110,220,7625,83
15485,4870,625,1190,780,430,140,615,310,125,140,100,130,285,10610,84
20500,10430,1850,700,2525,1320,255,655,760,110,115,65,1575,510,10065,85
14615,4070,785,655,810,230,50,255,310,30,110,80,355,385,10545,86
22665,5220,1170,965,945,325,115,470,255,130,205,260,95,290,17440,87
21855,5905,1090,800,965,550,210,855,320,195,235,185,180,320,15950,88
10120,1840,260,455,285,45,55,160,135,25,45,95,110,175,8280,89
14010,4435,605,685,725,495,75,610,590,55,35,150,175,230,9575,90
10680,4350,460,300,1450,190,45,885,475,45,65,15,165,260,6325,91
13200,3550,280,340,815,355,55,1005,160,40,40,85,145,235,9650,92
12800,3875,380,770,925,280,60,525,235,50,155,75,70,345,8925,94
29300,8380,1360,2180,1220,435,395,635,220,445,575,330,100,485,20920,95
11350,2695,505,580,410,190,75,275,120,135,70,95,80,160,8655,96
12905,3190,650,470,380,260,145,415,90,230,170,115,75,190,9710,97
20080,4325,965,1170,470,255,145,420,60,275,115,140,60,250,15750,98
16370,4745,670,1135,530,525,120,480,115,300,275,115,135,345,11625,99
12405,3740,665,895,365,225,160,475,100,170,320,110,50,205,8670,100
10860,2410,385,555,320,405,75,215,45,100,45,55,70,135,8455,101
12295,3785,260,250,520,1515,55,480,55,175,100,45,65,260,8505,102
14960,3595,790,1150,210,335,100,130,115,210,165,105,40,235,11360,103
